1,30670.2
2,16028.5
3,16036.5
4,9056.83
5,8995.1
6,9059.05
7,8967.47
8,5850.9
9,5634.6
10,5646.23
11,5742.5
12,5637.81
13,5642.92
14,5638.97
15,5584.2
16,4135.75
17,4097.16
18,4110.85
19,4117.28
20,4113.66
21,4137.03
22,4504.94
23,4125.87
24,4242.88
25,4223.63
26,4171.43
27,4181.63
28,4224.79
29,4382.2
30,4220.83
31,4271.24
32,3848.14
33,4001.09
34,3886.87
35,3949.97
36,3885.51
37,3952.53
38,4009.42
39,4153.07
40,4276.72
41,4361.7
42,4407.37
43,4384.93
44,4589.06
45,4507.49
46,4564.96
47,4595.48
48,4655.36
49,4778.32
50,4799.94
----------- Modifica alla size ---------------
